id_produk,nama_produk,review,id_user,nama_akun,rating_user,ulasan_produk,waktu_review,varian_produk
PI2593,ZOOM75 Essential Edition Sky Blue NON-Flex Cut RGB BAREBONE,1,UI0047,a***v,5,nice,4 bulan lalu,none
PI2595,QK80 WK Navy 80% Layout Barebone Mechanical Keyboard,1,UI0048,Eduardo,5,sudah terima dan sdh direfund,4 bulan lalu,none
PI2599,STREAMPLIFY 2IN1 (CAM + MIC TRIPOD),1,UI0049,Rezha,5,Work all together,6 bulan lalu,none
PI2608,Corsair Harpoon Gaming Mouse,1,UI0050,Mario,5,Biarkan bintang yg berbicara,Lebih dari 1 tahun lalu,none
PI2610,Corsair M65 Pro Black - Gaming Mouse,1,UI0051,Kevin,5,"Order jam 14:30, sampai di rumah jam 17:00. Highly recommended, fast response, and informative. Thank you!",Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,1,UI0052,Ryan,5,y sesuai,2 bulan lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,2,UI0053,M***d,5,"mousenya enak digenggam, bisa di setting , licin dan responsif",9 bulan lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,3,UI0054,Agung,5,"mantap pokoknya, semoga kwalitasnya memuaskan",Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,4,UI0055,F***o,5,bagus. tapi kegedean bagi aku Dan berat.,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,5,UI0056,Zain,5,"Kualitas fantech Thor X9 emang beda, sempet beli varian lain dari fantech dengan harga yg sama, kualitasnya gak sekuat X9 ini, btw ini kedua kalinya gua beli X9 setelah b...",Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,6,UI0057,o***n,5,nice,Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,7,UI0058,Agus,5,"Proses dan pengiriman cepat, produk bekerja dengan baik. Recommended Seller",Lebih dari 1 tahun lalu,none
PI0104,Fantech Gaming Mouse X9 THOR Standart Macro,8,UI0059,Evan,5,proses cepat,Lebih dari 1 tahun lalu,none
